x	y	Sample	Subpopulation	Subgroup
88	-7.47741718575888	10.9090050803627	753	GP4-C1	GP4
89	-8.2379958781918	3.22153155283512	753	GP4-A2	GP4
90	-5.35065890337198	7.69987394611344	753	GP4-A1	GP4
91	19.1791063688546	-17.2501690192404	753	GP4-A1	GP4
92	13.6556278316518	-17.1875030106448	753	GP4-B2	GP4
93	15.6320133095108	-9.69928246020701	753	GP4-B2	GP4
94	8.48567400846356	-6.25189212342956	753	GP4-B2	GP4
95	11.5070107841823	-9.99500305929804	753	GP4-B2	GP4
96	-11.7720829991345	5.7833473879298	753	GP4-C1	GP4
97	8.75993177450822	-15.4401586980209	753	GP4-B2	GP4
98	-7.89391153360062	11.7081817535799	753	GP4-C1	GP4
99	-12.4411948944874	23.1211720494565	753	GP4-C1	GP4
